layer,class_name,mean_shift,std_shift,count
0,cbb,0.0,0.0,70
0,cbsd,0.0,0.0,217
0,cgm,0.0,0.0,116
0,cmd,0.0,0.0,399
0,healthy,0.0,0.0,47
1,cbb,0.0016049632,0.00069052,70
1,cbsd,0.0016174437,0.00052085996,217
1,cgm,0.0013635333,0.0005466198,116
1,cmd,0.0013117342,0.00050659594,399
1,healthy,0.001757027,0.00055711507,47
2,cbb,0.0032625794,0.0014875628,70
2,cbsd,0.0030393691,0.00096456386,217
2,cgm,0.0026502172,0.0008527918,116
2,cmd,0.0024811958,0.00070288585,399
2,healthy,0.0030415757,0.0008587866,47
3,cbb,0.005672362,0.0014185902,70
3,cbsd,0.005548465,0.0012541626,217
3,cgm,0.0050904034,0.0011932332,116
3,cmd,0.005087377,0.0010359298,399
3,healthy,0.006702783,0.0011171021,47
4,cbb,0.0033973379,0.00073331344,70
4,cbsd,0.0032960044,0.0005795928,217
4,cgm,0.003058792,0.0004939923,116
4,cmd,0.0028987133,0.00037428105,399
4,healthy,0.0035755874,0.00061567745,47
5,cbb,0.0032154033,0.0007914094,70
5,cbsd,0.0031604993,0.00064309465,217
5,cgm,0.0028990018,0.0005914602,116
5,cmd,0.0026452919,0.0004405931,399
5,healthy,0.0033920775,0.0008302568,47
6,cbb,0.005459366,0.0010742032,70
6,cbsd,0.0056102034,0.0010850728,217
6,cgm,0.005193682,0.0011156425,116
6,cmd,0.004742601,0.0008048231,399
6,healthy,0.0060333535,0.0013371528,47
7,cbb,0.006671593,0.0012474554,70
7,cbsd,0.0069479262,0.0013238712,217
7,cgm,0.006471857,0.0014095868,116
7,cmd,0.0059067397,0.0009786891,399
7,healthy,0.007011613,0.001513354,47
8,cbb,0.011182859,0.0020136058,70
8,cbsd,0.011902655,0.0023191501,217
8,cgm,0.0109045915,0.0020377345,116
8,cmd,0.010036794,0.0016626366,399
8,healthy,0.010539736,0.0021841282,47
9,cbb,0.01851386,0.0038427233,70
9,cbsd,0.020535143,0.0047626197,217
9,cgm,0.01816909,0.0036328537,116
9,cmd,0.01687401,0.0032921296,399
9,healthy,0.016704636,0.0038180656,47
10,cbb,0.040567398,0.0085093165,70
10,cbsd,0.044547427,0.009382411,217
10,cgm,0.048495628,0.011141775,116
10,cmd,0.041799147,0.007919027,399
10,healthy,0.049906712,0.011542288,47
11,cbb,0.16208787,0.032136526,70
11,cbsd,0.16703242,0.03419155,217
11,cgm,0.15717953,0.037513915,116
11,cmd,0.12521869,0.026167708,399
11,healthy,0.16419019,0.03711183,47
12,cbb,0.478699,0.13134414,70
12,cbsd,0.37134078,0.07808188,217
12,cgm,0.37590852,0.070865996,116
12,cmd,0.22330841,0.05575294,399
12,healthy,0.4114712,0.053756915,47
