layer,effective_rank,frobenius_norm,top_sv,sv_ratio_1_2,num_intruders,avg_cos_sim
base_model.model.layers.0.attention.q_proj,2,2.255772,2.240084,13.246,6,0.123
base_model.model.layers.0.attention.v_proj,3,1.446358,1.356753,2.8331,4,0.1578
base_model.model.layers.1.attention.q_proj,2,2.552921,2.449916,3.4738,9,0.0783
base_model.model.layers.1.attention.v_proj,2,1.608857,1.567226,4.6708,7,0.0843
base_model.model.layers.2.attention.q_proj,2,2.212276,2.18326,6.5826,9,0.073
base_model.model.layers.2.attention.v_proj,4,1.410218,1.313377,2.9455,8,0.0876
base_model.model.layers.3.attention.q_proj,3,3.190191,3.07713,3.9928,7,0.09
base_model.model.layers.3.attention.v_proj,5,1.217034,0.893748,1.2745,7,0.0765
base_model.model.layers.4.attention.q_proj,2,2.644511,2.627078,13.0474,7,0.0835
base_model.model.layers.4.attention.v_proj,6,1.052478,0.837942,1.8178,10,0.0606
base_model.model.layers.5.attention.q_proj,1,2.69487,2.690113,22.7948,9,0.0727
base_model.model.layers.5.attention.v_proj,4,1.212228,1.166441,4.1672,10,0.0616
base_model.model.layers.6.attention.q_proj,2,3.383566,3.354757,8.5691,8,0.079
base_model.model.layers.6.attention.v_proj,5,1.246204,1.161703,3.0919,9,0.0774
base_model.model.layers.7.attention.q_proj,1,4.923968,4.918814,32.7813,7,0.0804
base_model.model.layers.7.attention.v_proj,4,1.328191,1.21639,2.4842,10,0.0651
base_model.model.layers.8.attention.q_proj,1,4.604668,4.590798,14.9049,6,0.0776
base_model.model.layers.8.attention.v_proj,5,1.461654,1.088332,1.2212,10,0.0691
base_model.model.layers.9.attention.q_proj,1,4.834909,4.828588,25.3827,9,0.0782
base_model.model.layers.9.attention.v_proj,5,1.633372,1.220072,1.2986,9,0.0767
base_model.model.layers.10.attention.q_proj,2,5.638245,5.552325,5.7223,8,0.0733
base_model.model.layers.10.attention.v_proj,4,2.157201,1.783687,1.5596,10,0.0675
base_model.model.layers.11.attention.q_proj,1,7.221004,7.220726,150.697,9,0.0718
base_model.model.layers.11.attention.v_proj,5,3.293871,2.947166,2.7933,9,0.0625
